City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Teknaf,BD,80.76,light rain,20.8624,92.3058,Forestry Guesthouse
140,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
141,Uyemskiy,RU,50.05,light intensity shower rain,64.4743,40.8524,Turkompleks Malyye Karely
142,Mar Del Plata,AR,62.62,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
143,Payo,ID,76.71,moderate rain,-3.7508,103.6372,Mess keban agung
145,Port Moresby,PG,75.47,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
146,Bluff,NZ,51.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
147,Bichena,ET,56.21,light rain,10.45,38.2,yichalal hotel
148,Antofagasta,CL,67.21,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
149,Mazatlan,MX,93.16,scattered clouds,23.2167,-106.4167,Hotel Playamar
150,Kiboga,UG,66.16,light rain,0.9161,31.7742,Marie Lustenberger Guest House
151,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
152,Lubango,AO,69.1,few clouds,-14.9172,13.4925,Hotel Serra da Chela
153,Jumla,NP,52.81,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
155,Dali,CN,61.0,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
156,Bhiwani,IN,84.72,clear sky,28.7833,76.1333,Gaur Guest House
157,Griffith,US,83.08,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
159,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
160,Gigmoto,PH,79.81,overcast clouds,13.7796,124.39,Cj's Travellers Inn
161,Santiago Del Estero,AR,74.89,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
164,Ineu,RO,57.52,light rain,46.4333,21.85,ANL INEU
165,Santa Lucia,ES,67.32,few clouds,27.9117,-15.5407,Las Tirajanas
166,Grand Gaube,MU,72.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
167,Sao Filipe,CV,80.85,clear sky,14.8961,-24.4956,Hotel Xaguate
168,Aksu,CN,51.31,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
169,Katsuura,JP,72.1,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
170,Namibe,AO,67.39,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
172,Tateyama,JP,72.01,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
173,Hamilton,US,83.95,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
176,Port Hardy,CA,50.18,light rain,50.6996,-127.4199,Airport Inn
177,Key West,US,89.6,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
179,Thyboron,DK,54.21,broken clouds,56.6985,8.2124,Thyborøn Hotel
180,Lorengau,PG,81.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
181,Hervey Bay,AU,70.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
182,Flinders,AU,53.2,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
183,Cairns,AU,69.75,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
184,Sault Sainte Marie,CA,70.36,mist,46.5168,-84.3333,Comfort Inn
188,Kushiro,JP,63.09,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
189,Guerrero Negro,MX,76.93,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
190,Chipata,ZM,80.58,scattered clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
192,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
194,Bethel,US,63.93,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
195,Esperance,AU,54.86,overcast clouds,-33.8667,121.9,Hospitality Esperance
196,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
197,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
198,Inhambane,MZ,69.37,overcast clouds,-23.865,35.3833,Oceano
200,Bengkulu,ID,76.41,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,Ardakan,IR,64.78,clear sky,32.31,54.0175,Ardakan Hotel
202,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
203,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
204,Muros,ES,70.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
208,Kanniyakumari,IN,80.53,overcast clouds,8.0833,77.5667,Sparsa
210,Lazaro Cardenas,MX,85.17,overcast clouds,17.9583,-102.2,quinta antigua
212,Kihei,US,77.02,scattered clouds,20.785,-156.4656,Maui Sunset
213,Axim,GH,77.27,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
214,Anapolis,BR,83.8,thunderstorm,-16.3267,-48.9528,Hotel Anápolis
216,Saint-Joseph,RE,71.96,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
217,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
219,San Ignacio,BZ,89.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
221,Yuma,US,83.88,clear sky,32.7253,-114.6244,Best Western Yuma Mall Hotel & Suites
222,Kirakira,SB,77.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
223,Uige,AO,73.96,broken clouds,-7.6087,15.0613,Hotel Catraio
225,Onega,RU,50.14,light rain,63.9061,38.1404,Lunny Kot Guest House
226,Santa Flavia,IT,67.73,clear sky,38.085,13.5351,La Caletta
227,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
228,Lasa,IT,55.31,clear sky,46.6166,10.7002,Pension Feldgärtenhof
229,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
230,Namatanai,PG,79.11,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
231,Half Moon Bay,US,74.95,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
232,Mahebourg,MU,71.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
233,Tautira,PF,80.62,broken clouds,-17.7333,-149.15,Pension Oaoa
237,Gabu,GW,85.37,light rain,12.2833,-14.2167,Hotel karsa
241,Henderson,US,76.12,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
243,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
244,Pucallpa,PE,93.24,broken clouds,-8.3791,-74.5539,Hospedaje Komby
245,Hualmay,PE,69.21,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
247,Aljezur,PT,69.51,broken clouds,37.3191,-8.8033,Amazigh Hostel
249,Cidreira,BR,65.41,overcast clouds,-30.1811,-50.2056,Hotel Castelo
250,Freeport,US,66.69,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
252,Ternate,ID,81.21,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
254,Nouadhibou,MR,70.18,clear sky,20.931,-17.0347,El Medina
255,Maniwaki,CA,59.54,overcast clouds,46.3834,-75.966,Centre Chateau Logue
258,Isangel,VU,70.25,scattered clouds,-19.55,169.2667,Tanna Lodge
259,Tala,EG,72.3,clear sky,30.6803,30.9429,مصطفى اشرف
263,Gushikawa,JP,82.4,few clouds,26.3544,127.8686,Kirari Guest House
264,Buncrana,IE,53.37,overcast clouds,55.1333,-7.45,Inishowen Gateway Hotel
265,Kaduqli,SD,83.91,overcast clouds,11.0167,29.7167,فندق الله جابو
266,Faya,SA,70.32,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
269,Santa Maria,BR,70.61,overcast clouds,-29.6842,-53.8069,Hotel Morotin
271,Hasaki,JP,66.29,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
272,Nanchang,CN,65.59,overcast clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
273,Ngorongoro,TZ,59.59,broken clouds,-3.2397,35.4875,Simba Special Campsite B
274,Jalu,LY,82.36,clear sky,29.0331,21.5482,صاحبة الفخامة
275,Ushibuka,JP,74.75,clear sky,32.1906,130.0228,Hotei
276,Hithadhoo,MV,83.32,overcast clouds,-0.6,73.0833,Scoop Guest House
277,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
279,Karratha,AU,74.62,clear sky,-20.7377,116.8463,ibis Styles Karratha
281,Hirara,JP,82.04,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
283,Ryotsu,JP,71.42,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
284,Lagoa,PT,70.52,overcast clouds,39.05,-27.9833,Casa Das Faias
285,Guaiba,BR,75.11,scattered clouds,-30.1139,-51.325,Hotel Guaíba
286,Makakilo City,US,75.56,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
290,Camacha,PT,72.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
292,Sanghar,PK,82.47,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
293,West Odessa,US,89.69,clear sky,31.8424,-102.4988,Corporate Mobile Housing
294,Loksa,EE,50.41,overcast clouds,59.5764,25.7214,Projekt-Kodu Retreat & Eco-Hostel
295,Nhulunbuy,AU,74.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
296,San Juan,AR,76.3,few clouds,-31.5375,-68.5364,Hotel Provincial
300,Bijie,CN,53.22,overcast clouds,27.3125,105.2942,Four Points by Sheraton Bijie
303,Santa Cruz,BO,92.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
304,Sarangani,PH,84.16,overcast clouds,5.4033,125.4636,Ballistic Islet
305,Challans,FR,58.91,overcast clouds,46.8436,-1.8749,Citotel Le Challans
306,Tonj,SS,75.18,light rain,7.2737,28.6822,Lakan Hotel
308,Geraldton,AU,50.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
309,La Baule-Escoublac,FR,61.88,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
310,Ahipara,NZ,52.36,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
311,Charters Towers,AU,64.53,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
313,Pochutla,MX,91.22,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
314,Trairi,BR,85.06,broken clouds,-3.2778,-39.2689,janelas do mar
315,Balabac,PH,82.4,moderate rain,7.9868,117.0645,Sing and Swing Lodge
316,Amudat,UG,78.24,overcast clouds,1.95,34.95,Silent Night Hotel
317,Shetpe,KZ,51.89,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
318,Acaponeta,MX,90.41,scattered clouds,22.4964,-105.3594,Hotel Casa Blanca
319,Islamkot,PK,83.91,clear sky,24.6997,70.177,Haji Hotel
320,Auki,SB,77.11,broken clouds,-8.7676,160.7034,Auki Motel
321,Bocas Del Toro,PA,88.07,few clouds,9.3333,-82.25,Hotel Bocas del Toro
325,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
326,Saint-Philippe,RE,72.95,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
327,Ruteng,ID,60.12,broken clouds,-8.6136,120.4721,Hotel FX 72
328,Basco,PH,81.21,moderate rain,20.4487,121.9702,Nathaniel's Lodge
329,San Jose De Sisa,PE,91.92,broken clouds,-6.6167,-76.6915,Killu Sisa Hospedaje
330,Vanimo,PG,78.85,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
331,Palaikastron,GR,73.74,clear sky,35.2,26.25,Marina Village
334,Biak,ID,77.58,overcast clouds,-0.9131,122.8766,Penginapan Kim
335,Kismayo,SO,78.21,broken clouds,-0.3582,42.5454,Agan-Hotel
336,Etchoropo,MX,89.85,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
338,Bowen,AU,72.39,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
339,Yantai,CN,61.65,light rain,37.5333,121.4,Yantai Seaside International Youth Hostel
343,La Asuncion,VE,85.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
345,Mont-Dore,NC,60.78,scattered clouds,-22.2833,166.5833,GIte
346,Saint Anthony,US,73.11,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
347,Anori,BR,92.82,broken clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
348,Ucluelet,CA,55.09,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
349,Vung Tau,VN,79.5,overcast clouds,10.346,107.0843,Green hotel
350,Lompoc,US,81.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
351,Lakefield,US,61.48,overcast clouds,43.6775,-95.1717,Wind Mill Motel
352,Jacmel,HT,93.04,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
354,Aracati,BR,86.83,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
356,Susanville,US,61.81,clear sky,40.4163,-120.653,Comfort Inn & Suites
358,Horsham,GB,60.51,few clouds,51.064,-0.3272,Springfields Hotel
359,Kavaratti,IN,82.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
360,Marsh Harbour,BS,81.9,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
361,La Paz,BO,69.78,broken clouds,-16.5,-68.15,Hotel Sagarnaga
363,Touba,CI,76.14,light rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
366,Elda,ES,68.67,overcast clouds,38.4778,-0.7916,AC Hotel by Marriott Elda
367,Pisco,PE,67.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
368,Ojinaga,MX,93.58,clear sky,29.5667,-104.4167,Suites Las Palmas
373,Oyama,JP,75.58,few clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
374,Cervo,ES,62.96,few clouds,43.6702,-7.4101,Hotel Spa Galatea
376,Provins,FR,57.88,scattered clouds,48.5833,3.1667,Gîte de Corberon
379,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
380,Haikou,CN,78.93,few clouds,20.0458,110.3417,Sun City Restaurant
381,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
382,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
383,Ballina,AU,69.98,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
384,Pacific Grove,US,74.61,clear sky,36.6177,-121.9166,Lovers Point Inn
385,Huarmey,PE,70.57,scattered clouds,-10.0681,-78.1522,Hotel Miramar
386,Mayumba,GA,76.3,overcast clouds,-3.432,10.6554,LIKWALE LODGE
387,Kamaishi,JP,66.72,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
388,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
389,Manaure,CO,85.28,scattered clouds,11.7751,-72.4445,Hotel Palaaima
391,Kushima,JP,78.12,broken clouds,31.4583,131.2333,Hanaoka
393,Ganzhou,CN,65.84,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
394,Shimoda,JP,69.91,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
395,Gizo,SB,80.83,broken clouds,-8.103,156.8419,Imagination Island
397,Mudu,CN,69.98,light rain,31.252,120.5118,Jinjiang Inn
398,Caravelas,BR,76.14,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
404,Airai,TL,60.67,overcast clouds,-8.9266,125.4092,Juvinal Martin
405,Ullapool,GB,52.95,overcast clouds,57.8987,-5.1604,Argyll Hotel
406,Almansa,ES,66.29,broken clouds,38.8692,-1.0971,Hotel Blu
407,Libreville,GA,80.62,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
408,Kikwit,CD,75.61,light rain,-5.041,18.8162,HOTEL PLACE YALABA
409,Rusape,ZW,61.34,broken clouds,-18.5278,32.1284,Surrey Lodge
411,Meadow Lake,US,63.66,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
412,Archidona,ES,71.94,broken clouds,37.0965,-4.3887,Hotel Escua
413,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
414,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
417,Ambulu,ID,75.87,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
