City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Hofn,IS,64.2539,-15.2082,43.09,88,98,9.46,overcast clouds
113,Skjervoy,NO,70.0311,20.9714,46.58,86,100,6.2,overcast clouds
114,Alghero,IT,40.5589,8.3181,62.69,59,20,3.44,few clouds
115,Beisfjord,NO,68.3751,17.5988,51.04,91,100,2.59,overcast clouds
116,Praia,CV,14.9215,-23.5087,86.54,54,0,17.27,clear sky
117,Codrington,AU,-38.2667,141.9667,46.24,75,74,9.75,broken clouds
118,Klyuchi,RU,52.2667,79.1667,44.38,59,100,5.68,overcast clouds
119,Vostok,RU,46.4856,135.8833,37.51,93,99,15.88,overcast clouds
120,Berdigestyakh,RU,62.0989,126.6992,35.02,87,100,11.05,overcast clouds
121,Dikson,RU,73.5069,80.5464,29.52,70,100,23.44,light snow
122,Laguna,US,38.421,-121.4238,73.06,50,1,1.99,clear sky
123,Matagami,CA,49.7502,-77.6328,60.91,100,90,10.36,overcast clouds
124,Thoen,TH,17.6129,99.2161,75.65,96,100,1.66,overcast clouds
125,Savannah Bight,HN,16.45,-85.85,87.85,76,57,0.18,broken clouds
126,Northam,GB,51.0333,-4.2167,59.02,78,53,10.78,broken clouds
127,Yizheng,CN,24.6706,103.4296,55.51,93,100,7.92,overcast clouds
128,Necochea,AR,-38.5473,-58.7368,69.04,62,4,10.83,clear sky
129,Madras,IN,13.0878,80.2785,80.58,89,40,2.3,mist
130,Bayir,TR,37.2687,28.2167,63.12,62,0,4.0,clear sky
131,Atambua,ID,-9.1061,124.8925,73.35,82,98,2.21,overcast clouds
132,Jamestown,US,42.097,-79.2353,69.03,72,40,10.0,scattered clouds
133,Tulun,RU,54.5611,100.5792,36.88,70,20,2.82,few clouds
134,Kyren,RU,51.6828,102.1408,34.93,68,0,3.36,clear sky
135,Mincivan,AZ,39.0294,46.7185,54.39,76,10,1.23,clear sky
136,Busselton,AU,-33.65,115.3333,54.05,72,100,11.77,moderate rain
137,Butaritari,KI,3.0707,172.7902,81.27,69,15,13.82,few clouds
138,Ecija,ES,37.5422,-5.0826,77.86,41,52,9.57,broken clouds
139,Teknaf,BD,20.8624,92.3058,80.76,85,100,2.93,light rain
140,Cayenne,GF,4.9333,-52.3333,87.84,75,0,7.0,clear sky
141,Uyemskiy,RU,64.4743,40.8524,50.05,100,90,6.71,light intensity shower rain
142,Mar Del Plata,AR,-38.0023,-57.5575,62.62,27,20,13.0,few clouds
143,Payo,ID,-3.7508,103.6372,76.71,83,95,1.7,moderate rain
144,Hamburg,DE,53.55,10.0,48.18,85,0,5.75,clear sky
145,Port Moresby,PG,-9.4431,147.1797,75.47,91,100,5.03,overcast clouds
146,Bluff,NZ,-46.6,168.3333,51.8,77,100,10.36,light rain
147,Bichena,ET,10.45,38.2,56.21,83,90,2.44,light rain
148,Antofagasta,CL,-23.65,-70.4,67.21,61,33,9.26,scattered clouds
149,Mazatlan,MX,23.2167,-106.4167,93.16,70,40,1.99,scattered clouds
150,Kiboga,UG,0.9161,31.7742,66.16,90,80,2.21,light rain
151,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,23,0,21.85,clear sky
152,Lubango,AO,-14.9172,13.4925,69.1,45,23,4.32,few clouds
153,Jumla,NP,29.2747,82.1838,52.81,79,8,4.07,clear sky
154,Asau,RO,46.4333,26.4,45.75,65,28,2.95,light rain
155,Dali,CN,25.7,100.1833,61.0,87,92,3.42,overcast clouds
156,Bhiwani,IN,28.7833,76.1333,84.72,34,0,5.35,clear sky
157,Griffith,US,41.5284,-87.4237,83.08,67,1,1.99,clear sky
158,Smithers,CA,54.7804,-127.1743,37.72,81,75,4.61,broken clouds
159,Georgetown,MY,5.4112,100.3354,80.89,89,20,2.3,few clouds
160,Gigmoto,PH,13.7796,124.39,79.81,86,100,7.38,overcast clouds
161,Santiago Del Estero,AR,-27.7951,-64.2615,74.89,57,97,12.59,overcast clouds
162,Bukachacha,RU,52.9833,116.9167,32.25,81,43,3.15,scattered clouds
163,Provideniya,RU,64.3833,-173.3,27.63,91,100,8.61,overcast clouds
164,Ineu,RO,46.4333,21.85,57.52,56,89,2.17,light rain
165,Santa Lucia,ES,27.9117,-15.5407,67.32,67,20,20.71,few clouds
166,Grand Gaube,MU,-20.0064,57.6608,72.0,89,61,8.01,moderate rain
167,Sao Filipe,CV,14.8961,-24.4956,80.85,72,0,4.43,clear sky
168,Aksu,CN,41.1231,80.2644,51.31,28,100,3.15,overcast clouds
169,Katsuura,JP,35.1333,140.3,72.1,71,70,12.48,broken clouds
170,Namibe,AO,-15.1961,12.1522,67.39,84,25,4.43,scattered clouds
171,Talnakh,RU,69.4865,88.3972,23.47,96,99,3.85,light snow
172,Tateyama,JP,34.9833,139.8667,72.01,68,78,12.84,broken clouds
173,Hamilton,US,39.1834,-84.5333,83.95,67,1,1.99,clear sky
174,Verkhoyansk,RU,67.5447,133.385,34.12,60,100,6.91,overcast clouds
175,Otta,NO,61.7712,9.5353,45.97,90,81,3.4,broken clouds
176,Port Hardy,CA,50.6996,-127.4199,50.18,81,75,9.22,light rain
177,Key West,US,24.5557,-81.7826,89.6,62,40,5.75,scattered clouds
178,Bilibino,RU,68.0546,166.4372,-5.33,100,96,3.47,overcast clouds
179,Thyboron,DK,56.6985,8.2124,54.21,87,75,18.77,broken clouds
180,Lorengau,PG,-2.0226,147.2712,81.05,77,96,4.97,overcast clouds
181,Hervey Bay,AU,-25.2986,152.8535,70.02,72,1,14.05,clear sky
182,Flinders,AU,-34.5833,150.8552,53.2,86,100,7.0,light rain
183,Cairns,AU,-16.9167,145.7667,69.75,90,10,6.91,light rain
184,Sault Sainte Marie,CA,46.5168,-84.3333,70.36,91,90,8.05,mist
185,Proletariy,RU,58.4342,31.7046,46.17,72,14,8.39,few clouds
186,Yinchuan,CN,38.4681,106.2731,48.22,38,71,3.49,broken clouds
187,Khatanga,RU,71.9667,102.5,16.11,96,100,5.99,light snow
188,Kushiro,JP,42.975,144.3747,63.09,93,99,30.29,overcast clouds
